"id","team","wiki","region","country","track","kind","section","application","year"
3600,"EPFL","https://2020.igem.org/Team:EPFL","europe","CHE","Food & Nutrition","collegiate","overgrad","accepted",2020
3692,"Estonia_TUIT","https://2020.igem.org/Team:Estonia_TUIT","europe","EST","Manufacturing","collegiate","undergrad","accepted",2020
3453,"Evry_Paris-Saclay","https://2020.igem.org/Team:Evry_Paris-Saclay","europe","FRA","New Application","collegiate","overgrad","accepted",2020
3377,"Example","https://2020.igem.org/Team:Example","north-america","USA","Open","collegiate","overgrad","accepted",2020
3371,"Exeter","https://2020.igem.org/Team:Exeter","europe","GBR","Environment","collegiate","undergrad","accepted",2020
3550,"FAFU-CHINA","https://2020.igem.org/Team:FAFU-CHINA","asia","CHN","New Application","collegiate","undergrad","accepted",2020
3498,"FCB-UANL","https://2020.igem.org/Team:FCB-UANL","latin-america","MEX","Environment","collegiate","undergrad","accepted",2020
3466,"FDR-HB_Peru","https://2020.igem.org/Team:FDR-HB_Peru","latin-america","PER","High School","high-school","high-school","accepted",2020
3702,"FSU","https://2020.igem.org/Team:FSU","north-america","USA","Environment","collegiate","undergrad","accepted",2020
3606,"Fudan","https://2020.igem.org/Team:Fudan","asia","CHN","Food & Nutrition","collegiate","undergrad","accepted",2020
3500,"GA_State_SW_Jiaotong","https://2020.igem.org/Team:GA_State_SW_Jiaotong","north-america","USA","Environment","collegiate","undergrad","accepted",2020
3417,"Gaston_Day_School","https://2020.igem.org/Team:Gaston_Day_School","north-america","USA","Environment","collegiate","undergrad","accepted",2020
3458,"GDSYZX","https://2020.igem.org/Team:GDSYZX","asia","CHN","High School","high-school","high-school","accepted",2020
3556,"Geneticspiral_07","https://2020.igem.org/Team:Geneticspiral_07","asia","IND",,"collegiate","collegiate","deleted",2020
3427,"GO_Paris-Saclay","https://2020.igem.org/Team:GO_Paris-Saclay","europe","FRA","Information Processing","collegiate","overgrad","accepted",2020
3593,"GreatBay_SCIE","https://2020.igem.org/Team:GreatBay_SCIE","asia","CHN","High School","high-school","high-school","accepted",2020
3596,"GreatBay_SZ","https://2020.igem.org/Team:GreatBay_SZ","asia","CHN","High School","high-school","high-school","accepted",2020
